date,campaign,mission,RED_Team,RED_Role,IndPerformance
2/3/16,C3,C3M1S1,Robotics,Drill,307.1000
2/3/16,C3,C3M1S1,Robotics,Ops,10678962.6200
2/3/16,C3,C3M1S1,Robotics,Mats,30136032.5000
2/3/16,C3,C3M1S1,Engineer,Bio,0.8100
2/3/16,C3,C3M1S1,Engineer,Fluid,0.5200
2/3/16,C3,C3M1S1,Engineer,Mech,305881.6300
2/3/16,C3,C3M1S1,Geology,Hydro,268962.3750
2/3/16,C3,C3M1S1,Geology,Sedi,0.6215
2/3/16,C3,C3M1S1,Geology,Struct,70172.9531
2/3/16,C3,C3M1S1,HumanFactors,Terrain,15471.0000
2/3/16,C3,C3M1S1,HumanFactors,Maint,8621.0000
2/3/16,C3,C3M1S1,HumanFactors,Meteor,29535.0000
2/8/16,C3,C3M1S2,Robotics,Drill,217.7300
2/8/16,C3,C3M1S2,Robotics,Ops,444743.6300
2/8/16,C3,C3M1S2,Robotics,Mats,1087398.1600
2/8/16,C3,C3M1S2,Engineer,Bio,0.9600
2/8/16,C3,C3M1S2,Engineer,Fluid,0.6500
2/8/16,C3,C3M1S2,Engineer,Mech,167705.7300
2/8/16,C3,C3M1S2,Geology,Hydro,0.0000
2/8/16,C3,C3M1S2,Geology,Sedi,0.8069
2/8/16,C3,C3M1S2,Geology,Struct,92408.9063
2/8/16,C3,C3M1S2,HumanFactors,Terrain,10193.0000
2/8/16,C3,C3M1S2,HumanFactors,Maint,10528.0000
2/8/16,C3,C3M1S2,HumanFactors,Meteor,22551.0000
2/23/16,C3,C3M1S3,Robotics,Drill,176.4000
2/23/16,C3,C3M1S3,Robotics,Ops,1398509.0000
2/23/16,C3,C3M1S3,Robotics,Mats,2803093.6700
2/23/16,C3,C3M1S3,Engineer,Bio,0.9700
2/23/16,C3,C3M1S3,Engineer,Fluid,0.5600
2/23/16,C3,C3M1S3,Engineer,Mech,0.9700
2/23/16,C3,C3M1S3,Geology,Hydro,285666.7813
2/23/16,C3,C3M1S3,Geology,Sedi,0.9931
2/23/16,C3,C3M1S3,Geology,Struct,1242.1527
2/23/16,C3,C3M1S3,HumanFactors,Terrain,5000.0000
2/23/16,C3,C3M1S3,HumanFactors,Maint,11467.0000
2/23/16,C3,C3M1S3,HumanFactors,Meteor,27117.0000
5/16/16,C3,C3M2S2,Robotics,Drill,178.2800
5/16/16,C3,C3M2S2,Robotics,Ops,6974451.9300
5/16/16,C3,C3M2S2,Robotics,Mats,42212870.3000
5/16/16,C3,C3M2S2,Engineer,Bio,0.9600
5/16/16,C3,C3M2S2,Engineer,Fluid,0.6800
5/16/16,C3,C3M2S2,Engineer,Mech,247321.0400
5/16/16,C3,C3M2S2,Geology,Hydro,192301.6719
5/16/16,C3,C3M2S2,Geology,Sedi,0.5581
5/16/16,C3,C3M2S2,Geology,Struct,15033.5225
5/16/16,C3,C3M2S2,HumanFactors,Terrain,0.0000
5/16/16,C3,C3M2S2,HumanFactors,Maint,1511.0000
5/16/16,C3,C3M2S2,HumanFactors,Meteor,10134.0000
5/31/16,C3,C3M2S3,Robotics,Drill,178.2800
5/31/16,C3,C3M2S3,Robotics,Ops,1148027.7500
5/31/16,C3,C3M2S3,Robotics,Mats,4976700.3100
5/31/16,C3,C3M2S3,Engineer,Bio,0.9400
5/31/16,C3,C3M2S3,Engineer,Fluid,0.5900
5/31/16,C3,C3M2S3,Engineer,Mech,263936.8300
5/31/16,C3,C3M2S3,Geology,Hydro,192301.6719
5/31/16,C3,C3M2S3,Geology,Sedi,0.5581
5/31/16,C3,C3M2S3,Geology,Struct,15033.5225
5/31/16,C3,C3M2S3,HumanFactors,Terrain,0.0000
5/31/16,C3,C3M2S3,HumanFactors,Maint,6086.0000
5/31/16,C3,C3M2S3,HumanFactors,Meteor,20743.0000
7/25/16,C3,C3M3S2,Robotics,Drill,248.6100
7/25/16,C3,C3M3S2,Robotics,Ops,3975978.7400
7/25/16,C3,C3M3S2,Robotics,Mats,3359702.0300
7/25/16,C3,C3M3S2,Engineer,Bio,0.9300
7/25/16,C3,C3M3S2,Engineer,Fluid,0.6700
7/25/16,C3,C3M3S2,Engineer,Mech,362353.0000
7/25/16,C3,C3M3S2,Geology,Hydro,300681.6200
7/25/16,C3,C3M3S2,Geology,Sedi,0.6400
7/25/16,C3,C3M3S2,Geology,Struct,14162.4600
7/25/16,C3,C3M3S2,HumanFactors,Terrain,9935.0000
7/25/16,C3,C3M3S2,HumanFactors,Maint,0.0000
7/25/16,C3,C3M3S2,HumanFactors,Meteor,29438.0000
10/3/16,C3,C3M4S2,Robotics,Drill,152.8117
10/3/16,C3,C3M4S2,Robotics,Ops,654058.5600
10/3/16,C3,C3M4S2,Robotics,Mats,1416504.0000
10/3/16,C3,C3M4S2,Engineer,Bio,0.9400
10/3/16,C3,C3M4S2,Engineer,Fluid,0.5700
10/3/16,C3,C3M4S2,Engineer,Mech,3.3600
10/3/16,C3,C3M4S2,Geology,Hydro,208445.1500
10/3/16,C3,C3M4S2,Geology,Sedi,0.6300
10/3/16,C3,C3M4S2,Geology,Struct,4535.4000
10/3/16,C3,C3M4S2,HumanFactors,Terrain,23456.0000
10/3/16,C3,C3M4S2,HumanFactors,Maint,0.0000
10/3/16,C3,C3M4S2,HumanFactors,Meteor,42339.0000
10/18/16,C3,C3M4S3,Robotics,Drill,180.3300
10/18/16,C3,C3M4S3,Robotics,Ops,1410053.0000
10/18/16,C3,C3M4S3,Robotics,Mats,14964187.4800
10/18/16,C3,C3M4S3,Engineer,Bio,0.4800
10/18/16,C3,C3M4S3,Engineer,Fluid,0.5900
10/18/16,C3,C3M4S3,Engineer,Mech,190844.3800
10/18/16,C3,C3M4S3,Geology,Hydro,189761.0300
10/18/16,C3,C3M4S3,Geology,Sedi,0.5400
10/18/16,C3,C3M4S3,Geology,Struct,5961.8000
10/18/16,C3,C3M4S3,HumanFactors,Terrain,0.0000
10/18/16,C3,C3M4S3,HumanFactors,Maint,4300.0000
10/18/16,C3,C3M4S3,HumanFactors,Meteor,0.0000
5/16/17,C4,C4M1S1,Robotics,Drill,210.0600
5/16/17,C4,C4M1S1,Robotics,Ops,574485.3600
5/16/17,C4,C4M1S1,Robotics,Mats,2165165.8900
5/16/17,C4,C4M1S1,Engineer,Bio,0.5600
5/16/17,C4,C4M1S1,Engineer,Fluid,0.6500
5/16/17,C4,C4M1S1,Engineer,Mech,15000.3400
5/16/17,C4,C4M1S1,Geology,Hydro,294738.4600
5/16/17,C4,C4M1S1,Geology,Sedi,0.4500
5/16/17,C4,C4M1S1,Geology,Struct,4886.3200
5/16/17,C4,C4M1S1,HumanFactors,Terrain,0.0000
5/16/17,C4,C4M1S1,HumanFactors,Maint,7275.0000
5/16/17,C4,C4M1S1,HumanFactors,Meteor,15526.0000
5/22/17,C4,C4M1S2,Robotics,Drill,183.2200
5/22/17,C4,C4M1S2,Robotics,Ops,4020292.9400
5/22/17,C4,C4M1S2,Robotics,Mats,14705764.8300
5/22/17,C4,C4M1S2,Engineer,Bio,0.6500
5/22/17,C4,C4M1S2,Engineer,Fluid,0.6000
5/22/17,C4,C4M1S2,Engineer,Mech,418463.7900
5/22/17,C4,C4M1S2,Geology,Hydro,323838.0400
5/22/17,C4,C4M1S2,Geology,Sedi,0.6100
5/22/17,C4,C4M1S2,Geology,Struct,8570.4600
5/22/17,C4,C4M1S2,HumanFactors,Terrain,9588.0000
5/22/17,C4,C4M1S2,HumanFactors,Maint,864.0000
5/22/17,C4,C4M1S2,HumanFactors,Meteor,27026.0000
5/30/17,C4,C4M1S3,Robotics,Drill,193.5700
5/30/17,C4,C4M1S3,Robotics,Ops,3664913.5900
5/30/17,C4,C4M1S3,Robotics,Mats,14227718.1000
5/30/17,C4,C4M1S3,Engineer,Bio,0.8500
5/30/17,C4,C4M1S3,Engineer,Fluid,0.5200
5/30/17,C4,C4M1S3,Engineer,Mech,366149.7300
5/30/17,C4,C4M1S3,Geology,Hydro,323263.7600
5/30/17,C4,C4M1S3,Geology,Sedi,1.0000
5/30/17,C4,C4M1S3,Geology,Struct,4612.4200
5/30/17,C4,C4M1S3,HumanFactors,Terrain,0.0000
5/30/17,C4,C4M1S3,HumanFactors,Maint,11565.0000
5/30/17,C4,C4M1S3,HumanFactors,Meteor,28376.0000
6/13/17,C4,C4M1S4,Robotics,Drill,365.1200
6/13/17,C4,C4M1S4,Robotics,Ops,2071401.6600
6/13/17,C4,C4M1S4,Robotics,Mats,4639939.7200
6/13/17,C4,C4M1S4,Engineer,Bio,0.4000
6/13/17,C4,C4M1S4,Engineer,Fluid,0.6600
6/13/17,C4,C4M1S4,Engineer,Mech,430355.8000
6/13/17,C4,C4M1S4,Geology,Hydro,359755.4400
6/13/17,C4,C4M1S4,Geology,Sedi,0.9700
6/13/17,C4,C4M1S4,Geology,Struct,65733.1800
6/13/17,C4,C4M1S4,HumanFactors,Terrain,16631.0000
6/13/17,C4,C4M1S4,HumanFactors,Maint,4000.0000
6/13/17,C4,C4M1S4,HumanFactors,Meteor,28886.0000
8/15/17,C4,C4M2S1,Robotics,Drill,191.7900
8/15/17,C4,C4M2S1,Robotics,Ops,619823.5800
8/15/17,C4,C4M2S1,Robotics,Mats,3228247.8300
8/15/17,C4,C4M2S1,Engineer,Bio,0.5200
8/15/17,C4,C4M2S1,Engineer,Fluid,0.6200
8/15/17,C4,C4M2S1,Engineer,Mech,89.8300
8/15/17,C4,C4M2S1,Geology,Hydro,269356.1800
8/15/17,C4,C4M2S1,Geology,Sedi,0.5300
8/15/17,C4,C4M2S1,Geology,Struct,15009.6900
8/15/17,C4,C4M2S1,HumanFactors,Terrain,11490.0000
8/15/17,C4,C4M2S1,HumanFactors,Maint,4383.0000
8/15/17,C4,C4M2S1,HumanFactors,Meteor,25136.0000
8/21/17,C4,C4M2S2,Robotics,Drill,166.3100
8/21/17,C4,C4M2S2,Robotics,Ops,320407.5100
8/21/17,C4,C4M2S2,Robotics,Mats,1127015.4800
8/21/17,C4,C4M2S2,Engineer,Bio,0.9000
8/21/17,C4,C4M2S2,Engineer,Fluid,0.5100
8/21/17,C4,C4M2S2,Engineer,Mech,177527.5000
8/21/17,C4,C4M2S2,Geology,Hydro,275783.2700
8/21/17,C4,C4M2S2,Geology,Sedi,0.9600
8/21/17,C4,C4M2S2,Geology,Struct,1881.7600
8/21/17,C4,C4M2S2,HumanFactors,Terrain,439.0000
8/21/17,C4,C4M2S2,HumanFactors,Maint,0.0000
8/21/17,C4,C4M2S2,HumanFactors,Meteor,9598.0000
11/7/17,C4,C4M3S1,Robotics,Drill,366.9000
11/7/17,C4,C4M3S1,Robotics,Ops,1647337.5900
11/7/17,C4,C4M3S1,Robotics,Mats,2654959.0800
11/7/17,C4,C4M3S1,Engineer,Bio,0.6000
11/7/17,C4,C4M3S1,Engineer,Fluid,0.6800
11/7/17,C4,C4M3S1,Engineer,Mech,9.4900
11/7/17,C4,C4M3S1,Geology,Hydro,226941.1400
11/7/17,C4,C4M3S1,Geology,Sedi,0.9400
11/7/17,C4,C4M3S1,Geology,Struct,113654.3500
11/7/17,C4,C4M3S1,HumanFactors,Terrain,15949.0000
11/7/17,C4,C4M3S1,HumanFactors,Maint,8840.0000
11/7/17,C4,C4M3S1,HumanFactors,Meteor,2588.0000
11/13/17,C4,C4M3S2,Robotics,Drill,340.9700
11/13/17,C4,C4M3S2,Robotics,Ops,2063316.8600
11/13/17,C4,C4M3S2,Robotics,Mats,5371992.8100
11/13/17,C4,C4M3S2,Engineer,Bio,0.6300
11/13/17,C4,C4M3S2,Engineer,Fluid,0.4100
11/13/17,C4,C4M3S2,Engineer,Mech,9.8700
11/13/17,C4,C4M3S2,Geology,Hydro,268962.3900
11/13/17,C4,C4M3S2,Geology,Sedi,0.6200
11/13/17,C4,C4M3S2,Geology,Struct,70172.9500
11/13/17,C4,C4M3S2,HumanFactors,Terrain,16813.0000
11/13/17,C4,C4M3S2,HumanFactors,Maint,9782.0000
11/13/17,C4,C4M3S2,HumanFactors,Meteor,1718.0000
11/21/17,C4,C4M3S3,Robotics,Drill,366.8000
11/21/17,C4,C4M3S3,Robotics,Ops,4286572.0100
11/21/17,C4,C4M3S3,Robotics,Mats,-14225.0000
11/21/17,C4,C4M3S3,Engineer,Bio,0.5500
11/21/17,C4,C4M3S3,Engineer,Fluid,0.6800
11/21/17,C4,C4M3S3,Engineer,Mech,103906.2900
11/21/17,C4,C4M3S3,Geology,Hydro,297312.5700
11/21/17,C4,C4M3S3,Geology,Sedi,1.0000
11/21/17,C4,C4M3S3,Geology,Struct,77303.2000
11/21/17,C4,C4M3S3,HumanFactors,Terrain,22239.0000
11/21/17,C4,C4M3S3,HumanFactors,Maint,3849.0000
11/21/17,C4,C4M3S3,HumanFactors,Meteor,2880.0000
12/5/17,C4,C4M3S4,Robotics,Drill,344.6600
12/5/17,C4,C4M3S4,Robotics,Ops,2460438.1700
12/5/17,C4,C4M3S4,Robotics,Mats,4964617.4700
12/5/17,C4,C4M3S4,Engineer,Bio,0.5000
12/5/17,C4,C4M3S4,Engineer,Fluid,0.4900
12/5/17,C4,C4M3S4,Engineer,Mech,244741.7600
12/5/17,C4,C4M3S4,Geology,Hydro,261167.1900
12/5/17,C4,C4M3S4,Geology,Sedi,0.9500
12/5/17,C4,C4M3S4,Geology,Struct,99396.5100
12/5/17,C4,C4M3S4,HumanFactors,Terrain,31083.0000
12/5/17,C4,C4M3S4,HumanFactors,Maint,3147.0000
12/5/17,C4,C4M3S4,HumanFactors,Meteor,23035.0000
2/13/18,C4,C4M4S1,Robotics,Drill,137.6500
2/13/18,C4,C4M4S1,Robotics,Ops,6971360.8000
2/13/18,C4,C4M4S1,Robotics,Mats,-2802.3400
2/13/18,C4,C4M4S1,Engineer,Bio,0.8000
2/13/18,C4,C4M4S1,Engineer,Fluid,294737.2300
2/13/18,C4,C4M4S1,Engineer,Mech,0.6400
2/13/18,C4,C4M4S1,Geology,Hydro,354027.6200
2/13/18,C4,C4M4S1,Geology,Sedi,0.9600
2/13/18,C4,C4M4S1,Geology,Struct,3068.2800
2/13/18,C4,C4M4S1,HumanFactors,Terrain,0.0000
2/13/18,C4,C4M4S1,HumanFactors,Maint,4860.0000
2/13/18,C4,C4M4S1,HumanFactors,Meteor,19806.0000
2/19/18,C4,C4M4S2,Robotics,Drill,170.7600
2/19/18,C4,C4M4S2,Robotics,Ops,475049.2700
2/19/18,C4,C4M4S2,Robotics,Mats,1284612.3800
2/19/18,C4,C4M4S2,Engineer,Bio,0.8600
2/19/18,C4,C4M4S2,Engineer,Fluid,0.5700
2/19/18,C4,C4M4S2,Engineer,Mech,196231.1600
2/19/18,C4,C4M4S2,Geology,Hydro,309655.9100
2/19/18,C4,C4M4S2,Geology,Sedi,0.6300
2/19/18,C4,C4M4S2,Geology,Struct,8783.0400
2/19/18,C4,C4M4S2,HumanFactors,Terrain,0.0000
2/19/18,C4,C4M4S2,HumanFactors,Maint,4860.0000
2/19/18,C4,C4M4S2,HumanFactors,Meteor,10230.0000
2/27/18,C4,C4M4S3,Robotics,Drill,226.9200
2/27/18,C4,C4M4S3,Robotics,Ops,23103990.8800
2/27/18,C4,C4M4S3,Robotics,Mats,14502197.3500
2/27/18,C4,C4M4S3,Engineer,Bio,0.9600
2/27/18,C4,C4M4S3,Engineer,Fluid,0.6500
2/27/18,C4,C4M4S3,Engineer,Mech,332939.9900
2/27/18,C4,C4M4S3,Geology,Hydro,294508.4500
2/27/18,C4,C4M4S3,Geology,Sedi,1.0000
2/27/18,C4,C4M4S3,Geology,Struct,3888.1600
2/27/18,C4,C4M4S3,HumanFactors,Terrain,16736.0000
2/27/18,C4,C4M4S3,HumanFactors,Maint,1194.0000
2/27/18,C4,C4M4S3,HumanFactors,Meteor,4342.0000
3/13/18,C4,C4M4S4,Robotics,Drill,166.3100
3/13/18,C4,C4M4S4,Robotics,Ops,322452.0700
3/13/18,C4,C4M4S4,Robotics,Mats,131.7500
3/13/18,C4,C4M4S4,Engineer,Bio,0.7900
3/13/18,C4,C4M4S4,Engineer,Fluid,0.6500
3/13/18,C4,C4M4S4,Engineer,Mech,27082.6400
3/13/18,C4,C4M4S4,Geology,Hydro,275783.2700
3/13/18,C4,C4M4S4,Geology,Sedi,0.9600
3/13/18,C4,C4M4S4,Geology,Struct,1881.7600
3/13/18,C4,C4M4S4,HumanFactors,Terrain,0.0000
3/13/18,C4,C4M4S4,HumanFactors,Maint,924.0000
3/13/18,C4,C4M4S4,HumanFactors,Meteor,76.0000
5/15/18,C4,C4M5S1,Robotics,Drill,188.8000
5/15/18,C4,C4M5S1,Robotics,Ops,1341843.8800
5/15/18,C4,C4M5S1,Robotics,Mats,9927101.4800
5/15/18,C4,C4M5S1,Engineer,Bio,0.9600
5/15/18,C4,C4M5S1,Engineer,Fluid,0.5000
5/15/18,C4,C4M5S1,Engineer,Mech,224321.8900
5/15/18,C4,C4M5S1,Geology,Hydro,313261.8400
5/15/18,C4,C4M5S1,Geology,Sedi,0.6100
5/15/18,C4,C4M5S1,Geology,Struct,4625.2700
5/15/18,C4,C4M5S1,HumanFactors,Terrain,0.0000
5/15/18,C4,C4M5S1,HumanFactors,Maint,1294.0000
5/15/18,C4,C4M5S1,HumanFactors,Meteor,5021.0000
5/21/18,C4,C4M5S2,Robotics,Drill,192.2400
5/21/18,C4,C4M5S2,Robotics,Ops,1015958.4100
5/21/18,C4,C4M5S2,Robotics,Mats,2537073.9200
5/21/18,C4,C4M5S2,Engineer,Bio,0.4300
5/21/18,C4,C4M5S2,Engineer,Fluid,0.6500
5/21/18,C4,C4M5S2,Engineer,Mech,224251.0000
5/21/18,C4,C4M5S2,Geology,Hydro,313261.8400
5/21/18,C4,C4M5S2,Geology,Sedi,0.6100
5/21/18,C4,C4M5S2,Geology,Struct,4625.2700
5/21/18,C4,C4M5S2,HumanFactors,Terrain,4200.0000
5/21/18,C4,C4M5S2,HumanFactors,Maint,3648.0000
5/21/18,C4,C4M5S2,HumanFactors,Meteor,19153.0000
5/29/18,C4,C4M5S3,Robotics,Drill,200.4800
5/29/18,C4,C4M5S3,Robotics,Ops,10431603.9000
5/29/18,C4,C4M5S3,Robotics,Mats,29342015.8800
5/29/18,C4,C4M5S3,Engineer,Bio,0.8600
5/29/18,C4,C4M5S3,Engineer,Fluid,0.6800
5/29/18,C4,C4M5S3,Engineer,Mech,284086.1600
5/29/18,C4,C4M5S3,Geology,Hydro,278436.3300
5/29/18,C4,C4M5S3,Geology,Sedi,0.3900
5/29/18,C4,C4M5S3,Geology,Struct,16584.4700
5/29/18,C4,C4M5S3,HumanFactors,Terrain,23928.0000
5/29/18,C4,C4M5S3,HumanFactors,Maint,3801.0000
5/29/18,C4,C4M5S3,HumanFactors,Meteor,0.0000