date,relation,role
2/3/16,3,1
2/3/16,3,2
2/3/16,5,3
2/3/16,3,4
2/3/16,5,5
2/3/16,4,6
2/3/16,5,7
2/3/16,1,8
2/3/16,4,9
2/3/16,5,10
2/3/16,3,11
2/3/16,3,12
2/8/16,2,1
2/8/16,6,2
2/8/16,3,3
2/8/16,3,4
2/8/16,6,5
2/8/16,5,6
2/8/16,3,7
2/8/16,1,8
2/8/16,5,9
2/8/16,4,10
2/8/16,3,11
2/8/16,4,12
2/23/16,2,1
2/23/16,6,2
2/23/16,4,3
2/23/16,3,4
2/23/16,4,5
2/23/16,6,6
2/23/16,4,7
2/23/16,1,8
2/23/16,4,9
2/23/16,3,10
2/23/16,3,11
2/23/16,3,12
5/11/16,4,1
5/11/16,3,2
5/11/16,2,3
5/11/16,3,4
5/11/16,1,5
5/11/16,3,6
5/11/16,6,7
5/11/16,5,8
5/11/16,4,9
5/11/16,4,10
5/11/16,3,11
5/11/16,1,12
5/16/16,6,1
5/16/16,5,2
5/16/16,3,3
5/16/16,,4
5/16/16,3,5
5/16/16,2,6
5/16/16,3,7
5/16/16,3,8
5/16/16,2,9
5/16/16,3,10
5/16/16,5,11
5/16/16,3,12
5/31/16,6,1
5/31/16,4,2
5/31/16,4,3
5/31/16,2,4
5/31/16,3,5
5/31/16,4,6
5/31/16,1,7
5/31/16,5,8
5/31/16,3,9
5/31/16,3,10
5/31/16,1,11
5/31/16,1,12
6/7/16,5,1
6/7/16,4,2
6/7/16,5,3
6/7/16,3,4
6/7/16,4,5
6/7/16,5,6
6/7/16,3,7
6/7/16,2,8
6/7/16,2,9
6/7/16,5,10
6/7/16,5,11
6/7/16,1,12
6/16/16,4,1
6/16/16,4,2
6/16/16,4,3
6/16/16,4,4
6/16/16,2,5
6/16/16,3,6
6/16/16,4,7
6/16/16,2,8
6/16/16,5,9
6/16/16,2,10
6/16/16,5,11
6/16/16,3,12
7/20/16,2,1
7/20/16,6,2
7/20/16,3,3
7/20/16,1,4
7/20/16,4,5
7/20/16,5,6
7/20/16,,7
7/20/16,3,8
7/20/16,6,9
7/20/16,3,10
7/20/16,4,11
7/20/16,3,12
7/25/16,1,1
7/25/16,3,2
7/25/16,5,3
7/25/16,1,4
7/25/16,4,5
7/25/16,4,6
7/25/16,4,7
7/25/16,2,8
7/25/16,4,9
7/25/16,3,10
7/25/16,4,11
7/25/16,1,12
10/3/16,6,1
10/3/16,4,2
10/3/16,3,3
10/3/16,2,4
10/3/16,6,5
10/3/16,3,6
10/3/16,5,7
10/3/16,2,8
10/3/16,6,9
10/3/16,3,10
10/3/16,3,11
10/3/16,2,12
10/18/16,6,1
10/18/16,6,2
10/18/16,1,3
10/18/16,2,4
10/18/16,5,5
10/18/16,4,6
10/18/16,5,7
10/18/16,2,8
10/18/16,5,9
10/18/16,3,10
10/18/16,4,11
10/18/16,2,12
5/16/17,1,1
5/16/17,3,2
5/16/17,4,3
5/16/17,1,4
5/16/17,1,6
5/16/17,3,7
5/16/17,2,7
5/16/17,1,8
5/16/17,3,9
5/16/17,3,10
5/16/17,3,11
5/16/17,6,12
5/22/17,3,1
5/22/17,2,2
5/22/17,3,3
5/22/17,2,4
5/22/17,5,5
5/22/17,4,6
5/22/17,3,7
5/22/17,2,8
5/22/17,4,9
5/22/17,4,10
5/22/17,4,11
5/22/17,1,12
5/30/17,2,2
5/30/17,3,3
5/30/17,3,5
5/30/17,3,6
5/30/17,5,7
5/30/17,5,9
5/30/17,4,10
5/30/17,2,11
,,
,,
,,
,,
6/13/17,3,2
6/13/17,3,3
6/13/17,3,5
6/13/17,1,6
6/13/17,3,7
6/13/17,3,9
6/13/17,3,10
6/13/17,2,11
,,
,,
,,
,,
8/15/17,1,1
8/15/17,3,2
8/15/17,3,3
8/15/17,1,4
8/15/17,2,5
8/15/17,6,6
8/15/17,2,7
8/15/17,1,8
8/15/17,3,9
8/15/17,5,10
8/15/17,4,11
8/15/17,1,12
8/21/17,1,1
8/21/17,3,2
8/21/17,5,3
8/21/17,2,4
8/21/17,5,5
8/21/17,5,6
8/21/17,6,7
8/21/17,1,8
8/21/17,4,9
8/21/17,4,10
8/21/17,5,11
8/21/17,1,12
11/7/17,3,1
11/7/17,1,2
11/7/17,4,3
11/7/17,3,4
11/7/17,4,5
11/7/17,5,6
11/7/17,3,7
11/7/17,1,8
11/7/17,6,9
11/7/17,3,10
11/7/17,2,11
11/7/17,3,12
11/13/17,4,1
11/13/17,5,2
11/13/17,3,3
11/13/17,1,4
11/13/17,3,5
11/13/17,1,6
11/13/17,4,7
11/13/17,1,8
11/13/17,5,9
11/13/17,3,10
11/13/17,3,11
11/13/17,3,12
11/21/17,3,1
11/21/17,4,2
11/21/17,5,3
11/21/17,1,4
11/21/17,2,5
11/21/17,3,6
11/21/17,3,7
11/21/17,1,8
11/21/17,4,9
11/21/17,5,10
11/21/17,5,11
11/21/17,3,12
12/5/17,3,1
12/5/17,3,2
12/5/17,5,3
12/5/17,2,4
12/5/17,3,5
12/5/17,4,6
12/5/17,5,7
12/5/17,1,8
12/5/17,4,9
12/5/17,4,10
12/5/17,5,11
12/5/17,2,12
2/13/18,3,1
2/13/18,6,2
2/13/18,5,3
2/13/18,3,4
2/13/18,5,5
2/13/18,4,6
2/13/18,5,7
2/13/18,1,8
2/13/18,4,9
2/13/18,3,10
2/13/18,5,11
2/13/18,3,12
2/19/18,5,1
2/19/18,4,2
2/19/18,5,3
2/19/18,5,4
2/19/18,4,5
2/19/18,5,6
2/19/18,5,7
2/19/18,2,8
2/19/18,5,9
2/19/18,5,10
2/19/18,3,11
2/19/18,5,12
2/27/18,4,1
2/27/18,2,2
2/27/18,3,3
2/27/18,3,4
2/27/18,3,5
2/27/18,3,6
2/27/18,4,7
2/27/18,4,8
2/27/18,4,9
2/27/18,3,10
2/27/18,4,11
2/27/18,3,12
3/13/18,4,1
3/13/18,5,2
3/13/18,3,3
3/13/18,5,4
3/13/18,2,5
3/13/18,3,6
3/13/18,5,7
3/13/18,4,8
3/13/18,5,9
3/13/18,3,10
3/13/18,2,11
3/13/18,3,12
5/15/18,2,1
5/15/18,4,2
5/15/18,4,3
5/15/18,2,4
5/15/18,2,5
5/15/18,4,6
5/15/18,5,7
5/15/18,1,8
5/15/18,4,9
5/15/18,5,10
5/15/18,4,11
5/15/18,2,12
5/21/18,1,1
5/21/18,3,2
5/21/18,4,3
5/21/18,4,4
5/21/18,4,5
5/21/18,3,6
5/21/18,3,7
5/21/18,1,8
5/21/18,3,9
5/21/18,5,10
5/21/18,3,11
5/21/18,2,12
5/29/18,2,1
5/29/18,6,2
5/29/18,4,3
5/29/18,2,4
5/29/18,4,5
5/29/18,3,6
5/29/18,2,7
5/29/18,1,8
5/29/18,6,9
5/29/18,3,10
5/29/18,2,11
5/29/18,2,12