StartDate,Campaign,Mission,Session,Q2.1,Q11.1_1,Q11.2_1,Q11.3_1,Q11.4_1,Q11.5_1,Q11.6_1,Q11.7_1,Q11.8_1,Q11.9_1,Q11.10_1
2/3/16,3,1,1,1,7,7,7,7,7,7,7,7,7,7
2/3/16,3,1,1,2,3,4,5,3,4,4,4,4,4,5
2/3/16,3,1,1,3,5,5,6,5,5,5,6,5,5,5
2/3/16,3,1,1,4,7,4,7,7,7,7,7,5,4,7
2/3/16,3,1,1,5,2,3,6,3,3,6,2,3,2,4
2/3/16,3,1,1,6,5,3,4,5,5,6,7,4,6,6
2/3/16,3,1,1,7,6,2,1,6,3,5,5,1,5,6
2/3/16,3,1,1,8,4,5,5,5,5,2,4,4,4,5
2/3/16,3,1,1,9,7,3,7,7,3,6,4,2,3,4
2/3/16,3,1,1,10,6,6,6,6,6,6,6,6,6,6
2/3/16,3,1,1,11,6,6,6,6,6,6,6,6,6,6
2/3/16,3,1,1,12,7,6,7,6,6,7,7,7,6,6
2/8/16,3,1,2,1,6,6,6,6,6,6,6,6,6,6
2/8/16,3,1,2,2,7,7,4,7,7,7,6,6,6,3
2/8/16,3,1,2,3,5,4,5,4,5,4,6,4,5,4
2/8/16,3,1,2,4,7,7,7,7,5,7,7,5,6,7
2/8/16,3,1,2,5,6,6,5,4,3,7,6,7,5,7
2/8/16,3,1,2,6,6,5,6,6,6,6,6,5,5,4
2/8/16,3,1,2,7,6,3,6,5,3,7,6,2,4,4
2/8/16,3,1,2,8,6,6,5,7,6,6,6,7,5,5
2/8/16,3,1,2,9,7,5,6,5,6,7,4,4,3,4
2/8/16,3,1,2,10,5,3,4,4,6,7,3,7,6,6
2/8/16,3,1,2,11,5,5,5,6,6,6,6,6,6,6
2/8/16,3,1,2,12,4,4,4,4,4,4,4,4,4,4
2/23/16,3,1,3,1,5,5,5,5,5,5,5,5,5,5
2/23/16,3,1,3,2,4,4,6,6,6,4,4,6,4,5
2/23/16,3,1,3,3,7,4,5,5,6,6,6,5,3,3
2/23/16,3,1,3,4,6,5,6,5,6,5,6,4,6,6
2/23/16,3,1,3,5,5,6,6,4,4,7,6,7,4,4
2/23/16,3,1,3,6,7,6,5,5,6,5,5,5,6,6
2/23/16,3,1,3,7,2,6,5,3,5,5,5,6,2,3
2/23/16,3,1,3,8,6,6,6,6,6,6,6,5,6,5
2/23/16,3,1,3,9,4,6,7,4,6,7,5,5,3,2
2/23/16,3,1,3,10,5,5,4,4,5,5,5,5,4,4
2/23/16,3,1,3,11,5,4,5,5,4,5,5,4,5,5
2/23/16,3,1,3,12,4,4,4,4,4,4,4,4,4,4
5/11/16,,,,1,2,5,4,4,4,4,4,5,4,5
5/11/16,,,,2,6,5,6,5,7,5,5,5,6,4
5/11/16,,,,3,6,7,6,6,6,6,6,7,6,7
5/11/16,,,,4,2,4,2,2,4,6,6,5,6,4
5/11/16,,,,5,7,5,6,6,6,6,7,5,6,3
5/11/16,,,,6,6,3,6,5,4,6,7,2,5,4
5/11/16,,,,7,7,7,7,7,7,6,7,4,4,5
5/11/16,,,,8,7,5,5,7,5,5,7,6,6,5
5/11/16,,,,9,5,5,7,7,5,6,7,6,6,7
5/11/16,,,,10,7,7,7,7,7,7,7,7,7,7
5/11/16,,,,11,3,4,3,4,5,6,5,4,5,3
5/11/16,,,,12,1,1,1,1,1,1,1,1,1,1
5/16/16,3,2,2,1,6,6,5,6,6,6,6,6,6,6
5/16/16,3,2,2,2,4,2,2,2,5,5,6,5,4,5
5/16/16,3,2,2,3,4,7,6,7,7,7,7,7,7,2
5/16/16,3,2,2,5,6,3,6,5,2,5,7,5,2,4
5/16/16,3,2,2,6,6,6,6,6,6,6,6,6,6,6
5/16/16,3,2,2,7,5,4,4,5,4,5,5,4,6,5
5/16/16,3,2,2,8,7,7,7,7,6,6,6,6,6,6
5/16/16,3,2,2,9,7,7,7,7,2,7,7,6,7,5
5/16/16,3,2,2,10,3,5,4,4,5,3,5,3,4,5
5/16/16,3,2,2,11,7,4,6,4,3,5,6,4,4,4
5/16/16,3,2,2,12,7,6,7,6,7,6,6,7,6,6
5/31/16,3,2,3,1,6,5,6,5,6,5,6,5,4,4
5/31/16,3,2,3,2,7,6,4,6,5,6,5,4,6,7
5/31/16,3,2,3,3,6,6,6,5,5,6,6,5,6,6
5/31/16,3,2,3,4,1,1,1,1,7,7,1,7,7,1
5/31/16,3,2,3,5,5,6,5,6,5,5,7,5,4,4
5/31/16,3,2,3,6,4,3,4,3,3,5,5,3,6,4
5/31/16,3,2,3,7,3,3,2,3,2,2,4,2,3,2
5/31/16,3,2,3,8,6.166666667,6,6,6,6,6,7,6,6,6
5/31/16,3,2,3,9,2,1,2,3,2,2,4,2,2,4
5/31/16,3,2,3,10,4,6,5,6,6,7,6,6,6,5
5/31/16,3,2,3,11,6,6,5,6,6,5,6,6,6,6
5/31/16,3,2,3,12,1,1,1,1,1,1,1,1,1,1
6/7/16,,,,1,6,6,3,5,2,6,7,6,5,5
6/7/16,,,,2,6,6,6,4,7,4,6,4,7,5
6/7/16,,,,3,5,6,5,5,3,2,3,4,4,4
6/7/16,,,,4,4,4,4,4,4,3,2,3,2,5
6/7/16,,,,5,7,3,7,7,3,7,7,5,3,7
6/7/16,,,,6,7,4,7,7,7,6,7,5,6,6
6/7/16,,,,7,2,2,3,3,2,2,2,2,2,2
6/7/16,,,,8,4,4,4,4,4,4,4,4,4,4
6/7/16,,,,9,4,4,4,4,4,3,4,3,5,5
6/7/16,,,,10,6,6,6,6,6,5,6,6,5,6
6/7/16,,,,11,5,5,5,6,6,5,6,6,6,4
6/7/16,,,,12,6,6,6,6,6,5,5,5,6,6
6/16/16,,,,1,6,5,6,7,6,5,3,4,5.25,5
6/16/16,,,,2,6,6,4,7,7,4,7,6,6,7
6/16/16,,,,3,6,6,7,5,5,6,5,5,5,7
6/16/16,,,,4,5,5,6,5,4,5,5,6,6,5
6/16/16,,,,5,6,6,6,6,6,6,6,6,6,6
6/16/16,,,,6,6,6,6,7,6,5,7,6,6,6
6/16/16,,,,7,5,4,6,4,4,4,4,4,4,6
6/16/16,,,,8,4,4,4,4,4,4,4,4,4,4
6/16/16,,,,9,6,6,7,6,6,7,7,6,7,6
6/16/16,,,,10,4,6,7,7,2,3,5,7,3,7
6/16/16,,,,11,6,6,7,7,6,5,6,6,7,7
6/16/16,,,,12,5,5,5,5,5,4,5,6,5,5
7/20/16,,,,1,5,5,3,5,5,6,4,5,5,5
7/20/16,,,,2,5,6,6,4,5,5,5,7,7,6
7/20/16,,,,3,7,6,4,6,5,4,6,6,6,4
7/20/16,,,,4,4,4,5,5,4,5,5,5,5,5
7/20/16,,,,5,7,4,7,6,3,6,6,3,4,7
7/20/16,,,,6,6,5,6,6,4,7,6,5,5,7
7/20/16,,,,8,4,7,6,7,6,5,6,4,7,4
7/20/16,,,,9,6,4,4,5,3,6,4,3,4,5
7/20/16,,,,10,3,7,6,6,7,7,5,6,4,4
7/20/16,,,,11,6,6,2,6,5,5,6,2,6,3
7/20/16,,,,12,7,6,7,5,7,4,7,3,7,4
7/25/16,3,3,2,1,1,1,1,1,1,1,1,1,1,1
7/25/16,3,3,2,2,7,3,7,6,7,6,6,4,4,6
7/25/16,3,3,2,3,6,6,6,6,6,7,6,5,6,6
7/25/16,3,3,2,4,4,5,4,4,4,5,4,4,4,4
7/25/16,3,3,2,5,7,4,5,6,6,5,7,3,3,4
7/25/16,3,3,2,6,2,6,7,7,6,6,3,5,5,4
7/25/16,3,3,2,7,5,6,6,6,4,6,5,5,5,5
7/25/16,3,3,2,8,6,5,5,7,5,6,5,5,3,5
7/25/16,3,3,2,9,6,5,5,7,6,5,6,5,6,4
7/25/16,3,3,2,10,6,6,6,5,5,6,6,6,5,4
7/25/16,3,3,2,11,6,5,5,6,6,6,6,5,6,6
7/25/16,3,3,2,12,6,6,7,6,7,7,6,6,6,6
10/3/16,3,4,2,1,7,6,7,6,7,6,6,7,7,7
10/3/16,3,4,2,2,5,4,5,6,6,7,6,6,6,7
10/3/16,3,4,2,3,4,5,4,4,6,4,4,5,5,6
10/3/16,3,4,2,4,6,6,6,5,5,6,4,5,5,5
10/3/16,3,4,2,5,6,6,6,5,6,6,6,6,6,6
10/3/16,3,4,2,6,4,5,5,6,5,5,5,5,4,5
10/3/16,3,4,2,7,7,4,6,7,4,6,7,5,4,5
10/3/16,3,4,2,8,3,4,7,7,2,7,6,6,6,6
10/3/16,3,4,2,9,6,7,6,5,6,6,5,6,6,4
10/3/16,3,4,2,10,5,4,3,5,6,5,5,6,3,5
10/3/16,3,4,2,11,4,6,5,7,6,5,7,6,7,3
10/3/16,3,4,2,12,6,7,5,5,5,6,5,4,6,6
10/18/16,3,4,3,1,7,6,6,6,7,6,7,6,6,7
10/18/16,3,4,3,2,5,5,5,5,3,4,5,5,3,5
10/18/16,3,4,3,3,3,3,6,6,6,6,6,6,6,6
10/18/16,3,4,3,4,6,6,5,6,6,5,5,5,5,6
10/18/16,3,4,3,5,5,6,6,5,6,5,5,6,6,6
10/18/16,3,4,3,6,7,4,6,6,5,6,7,6,5,7
10/18/16,3,4,3,7,6,5,4,7,5,6,7,5,5,5
10/18/16,3,4,3,8,2,5,6,5,4,6,4,5,4,4
10/18/16,3,4,3,9,7,6,6,7,5,6,6,6,6,6
10/18/16,3,4,3,10,7,7,7,5,7,5,6,5,5,7
10/18/16,3,4,3,11,7,7,7,7,7,7,7,7,7,7
10/18/16,3,4,3,12,6,5,5,6,6,6,6,5,4,7
5/16/17,4,1,1,1,4,4,4,4,4,4,4,4,4,4
5/16/17,4,1,1,2,5,6,3,3,6,2,3,3,3,2
5/16/17,4,1,1,3,7,6,6,5,6,6,7,7,7,7
5/16/17,4,1,1,4,4,4,4,4,4,4,4,4,4,4
5/16/17,4,1,1,6,5,4,4,5,5,3,5,5,6,4
5/16/17,4,1,1,7,4,6,5,6,6,6,6,5,6,3
5/16/17,4,1,1,7,6,6,5,6,6,6,6,6,6,6
5/16/17,4,1,1,8,2,2,2,2,2,2,2,2,2,2
5/16/17,4,1,1,9,4,5,5,5,5,5,6,5,5,6
5/16/17,4,1,1,10,3,6,6,4,6,5,2,6,4,5
5/16/17,4,1,1,11,4,6,6,6,3,6,6,7,7,7
5/16/17,4,1,1,12,4,4,4,4,4,4,4,4,4,4
5/22/17,4,1,2,1,5,5,4,6,7,6,7,5,6,5
5/22/17,4,1,2,2,6,3,2,4,7,3,2,5,6,4
5/22/17,4,1,2,3,3,6,4,6,6,4,6,6,6,3
5/22/17,4,1,2,4,4,3,4,3,3.25,6,3,3.5,3,4
5/22/17,4,1,2,5,6,5,6,7,4,4,6,4,4,4
5/22/17,4,1,2,6,5,3,4,3,2,3,4,4,2,4
5/22/17,4,1,2,7,4,5,4,3,4,3,2,4,3,3
5/22/17,4,1,2,8,4,4,4,4,4,4,4,4,4,4
5/22/17,4,1,2,9,2,4,3,5,7,4,5,3,5,4
5/22/17,4,1,2,10,5,5,3,4,4,4,5,3,4,2
5/22/17,4,1,2,11,5,4,3,3,5,4,5,6,5,6
5/30/17,4,1,3,2,6,6,2,2,3,2,2,4,2,5
5/30/17,4,1,3,3,3,2,2,2,2,4,1,2,2,2
5/30/17,4,1,3,5,3,4,4,6,6,7,6,2,5,5
5/30/17,4,1,3,6,6,4,6,6,5,6,6,4,4,6
5/30/17,4,1,3,7,6,7,6,6,7,5,6,7,5,5
5/30/17,4,1,3,9,4,4,5,3,3,7,6,5,6,7
5/30/17,4,1,3,10,5,4,6,6,5,4,6,3,5,5
5/30/17,4,1,3,11,4,4,4,4,4,4,4,5,4,3
6/13/17,4,1,4,2,6,5,6,4,5,4,4,5,5,4
6/13/17,4,1,4,3,4,4,4,2,4,5,4,3,4,3
6/13/17,4,1,4,5,7,7,7,7,4,7,7,6,6,6
6/13/17,4,1,4,6,7,1,7,6,1,7,7,2,2,7
6/13/17,4,1,4,7,4,7,6,7,7,6,7,6,7,6
6/13/17,4,1,4,9,5,5,5,5,5,5,5,5,5,5
6/13/17,4,1,4,10,4,6,3,6,2,2,4,5,6,6
6/13/17,4,1,4,11,4,6,4,6,5,4,6,5,4,5
8/15/17,4,2,1,1,1,1,1,1,1,1,1,1,1,1
8/15/17,4,2,1,2,6,6,7,5,7,7,6,6,7,6
8/15/17,4,2,1,3,6,7,6,6,5.833333333,6,5,5,6,6
8/15/17,4,2,1,4,7,6,5,7,6,5,6,6,5,5
8/15/17,4,2,1,5,5,2,7,1,3,3,3,7,5,6
8/15/17,4,2,1,6,4,4,4,4,4,4,4,4,4,4
8/15/17,4,2,1,7,6,6,4,5,6,3,5,3,4,4
8/15/17,4,2,1,8,7,5,7,7,7,7,7,4,7,7
8/15/17,4,2,1,9,6,6,5,2,7,6,4,4,3,2
8/15/17,4,2,1,10,6,7,6,6,5,6,6,6,7,6
8/15/17,4,2,1,11,4,5,4,4,4,6,4,5,5,6
8/15/17,4,2,1,12,6,6,6,6,6,6,6,6,6,6
8/21/17,4,2,2,1,1,1,1,1,1,1,1,1,1,1
8/21/17,4,2,2,2,7,5,4,2,5,4,5,5,4,4
8/21/17,4,2,2,3,4,7,6,5,2,1,1,3,4,4
8/21/17,4,2,2,4,5,5,5,5,5,5,5,5,5,5
8/21/17,4,2,2,5,7,7,7,7,7,7,7,7,5,7
8/21/17,4,2,2,6,5,5,5,5,5,5,5,5,5,5
8/21/17,4,2,2,7,5,1,6,6,1,4,4,3,4,2
8/21/17,4,2,2,8,7,4,6,7,5,7,6,3,4,7
8/21/17,4,2,2,9,7,4,6,7,4,7,7,3,4,7
8/21/17,4,2,2,10,6,6,5,7,5,5,5,5,4,4
8/21/17,4,2,2,11,6,6,6,6,6,6,6,6,6,6
8/21/17,4,2,2,12,6,4,4,6,5,6,6,3,5,4
11/7/17,4,3,1,1,6,6,6,6,6,6,6,6,6,6
11/7/17,4,3,1,2,5,4,6,5,5,4,5,4,4,5
11/7/17,4,3,1,3,6,6,6,6,6,6,6,6,6,6
11/7/17,4,3,1,4,1,1,1,1,1,1,1,1,1,1
11/7/17,4,3,1,5,7,2,7,7,5,7,7,3,1,7
11/7/17,4,3,1,6,5,6,6,5,4,6,6,3,6,6
11/7/17,4,3,1,7,6,6,6,6,7,6,5,6,5,4
11/7/17,4,3,1,8,4,4,4,4,4,4,4,4,4,4
11/7/17,4,3,1,9,7,7,7,7,7,7,7,5,7,7
11/7/17,4,3,1,10,6,5,6,6,5,3,5,6,5,5
11/7/17,4,3,1,11,5,6,7,7,4,6,4,3,5,5
11/7/17,4,3,1,12,4,7,5,7,7,6,6,5,6,6
11/13/17,4,3,2,1,6,6,6,6,6,6,6,6,6,6
11/13/17,4,3,2,2,6,6,6,6,6,6,6,6,6,6
11/13/17,4,3,2,3,4,5,5,5,5,4,5,2,5,5
11/13/17,4,3,2,4,4,4,4,4,4,4,4,4,4,4
11/13/17,4,3,2,5,7,7,7,7,2,7,7,2,7,7
11/13/17,4,3,2,6,2,3,3,1,2,1,1,3,3,3
11/13/17,4,3,2,7,6,4,5,5,6,3,4,5,3,4
11/13/17,4,3,2,8,4,4,4,4,4,4,4,4,4,4
11/13/17,4,3,2,9,5,2,4,3,2,3,5,2,2,3
11/13/17,4,3,2,10,5,6,7,5,2,6,4,5,3,2
11/13/17,4,3,2,11,4,5,5,5,4,4,5,5,4,4
11/13/17,4,3,2,12,6,6,5,7,6,5,6,5,6,6
11/21/17,4,3,3,1,6,6,6,6,6,6,6,6,6,6
11/21/17,4,3,3,2,5,4,4,5,7,5,4,7,6,6
11/21/17,4,3,3,3,5,6,3,5,5,4,4,6,6,4
11/21/17,4,3,3,5,3,3,3,3,3,6,6,3,3,6
11/21/17,4,3,3,6,7,6,7,6,6,6,6,7,7,7
11/21/17,4,3,3,7,3,6,4,4,6,4,5,4,5,5
11/21/17,4,3,3,8,4,4,4,4,4,5,4,4,5,5
11/21/17,4,3,3,9,4,4,5,6,5,5,3,3,6,6
11/21/17,4,3,3,10,7,7,7,7,3,3,3,6,5,2
11/21/17,4,3,3,11,5,4,5,6,3,5,5,5,5,6
11/21/17,4,3,3,12,7,7,6,7,7,6,7,7,7,6
12/5/17,4,3,4,1,6,6,6,6,6,6,6,6,6,6
12/5/17,4,3,4,2,4,7,7,4,3,7,7,5,6,7
12/5/17,4,3,4,3,5,7,7,7,6,7,6,7,7,7
12/5/17,4,3,4,4,1,1,1,1,1,1,1,1,1,1
12/5/17,4,3,4,5,4,2,5,4,4,6,5,4,3,6
12/5/17,4,3,4,6,3,6,3,4,6,6,7,2,6,6
12/5/17,4,3,4,7,4,6,6,6,6,5,5,6,6,5
12/5/17,4,3,4,8,4,4,4,4,4,4,4,4,4,4
12/5/17,4,3,4,9,6,5,6,6,6,5,6,5,5,5
12/5/17,4,3,4,10,3,4,3,5,5,5,6,6,4,1
12/5/17,4,3,4,11,3,4,5,3,4,4,4,5,6,5
12/5/17,4,3,4,12,6,7,6,6,7,7,7,6,7,6
2/13/18,4,4,1,1,6,3,5,7,3,5,4,5,5,2
2/13/18,4,4,1,2,5,4,6,6,5,5,5,5,5,4
2/13/18,4,4,1,3,5,5,6,5,6,7,4,7,7,6
2/13/18,4,4,1,4,4,4,4,4,4,4,4,4,4,4
2/13/18,4,4,1,5,2,3,3,7,5,4,3,6,4,5
2/13/18,4,4,1,6,4,5,3,4,5,4,4,4,4,5
2/13/18,4,4,1,7,7,7,7,7,7,7,7,4,4,6
2/13/18,4,4,1,8,7,7,7,7,7,7,7,7,7,7
2/13/18,4,4,1,9,7,7,7,4,6,6,5,6,6,4
2/13/18,4,4,1,10,4,6,7,4,5,6,5,6,7,6
2/13/18,4,4,1,11,5,6,4,7,4,6,5,4,7,5
2/13/18,4,4,1,12,7,7,7,7,7,7,7,7,7,7
2/19/18,4,4,2,1,4,6,2,7,4,2,5,2,6,3
2/19/18,4,4,2,2,2,2,2,2,6,3,5,3,6,4
2/19/18,4,4,2,3,3,4,3,3,6,3,7,3,5,3
2/19/18,4,4,2,4,5,5,5,5,5,5,5,5,5,5
2/19/18,4,4,2,5,5,5,2,5,5,4,5,4,5,4
2/19/18,4,4,2,6,5,5,5,6,4,4,6,3,6,4
2/19/18,4,4,2,7,5,5,5,7,5,6,6,7,6,6
2/19/18,4,4,2,8,1,1,1,6,2,2,1,1,1,6
2/19/18,4,4,2,9,6,5,5,6,5,6,6,5,5,4
2/19/18,4,4,2,10,6,6,6,6,6,6,6,6,6,6
2/19/18,4,4,2,11,4,7,7,6,6,6,6,7,7,7
2/19/18,4,4,2,12,7,7,7,7,7,7,7,7,7,7
2/27/18,4,4,3,1,7,7,4,7,7,3,7,3,7,3
2/27/18,4,4,3,2,7,5,7,7,5,7,7,7,5,4
2/27/18,4,4,3,3,6,7,7,7,3,6,7,7,7,7
2/27/18,4,4,3,4,4,4,4,4,4,4,4,4,4,4
2/27/18,4,4,3,5,5,2,6,6,4,5,5,3,4,5
2/27/18,4,4,3,6,2,5,3,4,6,5,7,3,3,3
2/27/18,4,4,3,7,6,4,7,6,5,6,6,3,4,7
2/27/18,4,4,3,8,3,4,1,7,7,7,6,1,1,1
2/27/18,4,4,3,9,5,4,5,4,4,3,4,3,3,4
2/27/18,4,4,3,10,5,4,5,6,4,6,6,4,5,7
2/27/18,4,4,3,11,6,6,5.333333333,6,6,5,6,5,6,4
2/27/18,4,4,3,12,7,7,7,7,7,7,7,7,7,7
3/13/18,4,4,4,1,6,7,4,6,4,4,7,3,7,3
3/13/18,4,4,4,2,7,7,7,7,7,7,7,7,7,7
3/13/18,4,4,4,3,6,4,5,6,7,6,7,7,7,7
3/13/18,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/13/18,4,4,4,5,7,5,7,7,4,6,7,4,6,6
3/13/18,4,4,4,6,6,6,6,6,3,6,6,7,6,6
3/13/18,4,4,4,7,5,3,3,6,5,4,5,3,3,3
3/13/18,4,4,4,8,5,5,5,6,5,5,7,5,5,5
3/13/18,4,4,4,9,7,7,7,7,6,6,6,6,6,7
3/13/18,4,4,4,10,2,5,4,6,3,4,4,5,4,4
3/13/18,4,4,4,11,6,6,4,4,6,3,5,6,4,3
3/13/18,4,4,4,12,7,7,7,7,7,7,7,7,7,7
5/15/18,4,5,1,1,4,4,4,4,4,4,4,4,4,4
5/15/18,4,5,1,2,5,6,4,2,6,7,6,5,7,4
5/15/18,4,5,1,3,5,5,5,5,5,5,5,5,5,5
5/15/18,4,5,1,4,6,2,6,2,2,5,7,2,4,2
5/15/18,4,5,1,5,7,7,7,7,7,7,7,7,7,7
5/15/18,4,5,1,6,4,5,7,7,2,7,7,3,3,4
5/15/18,4,5,1,7,2,6,4,7,2,2,2,2,1,2
5/15/18,4,5,1,8,1,1,1,1,1,1,1,1,1,1
5/15/18,4,5,1,9,6,6,4,5,5,4,5,3,2,4
5/15/18,4,5,1,10,5,7,7,7,5,4,7,5,6,6
5/15/18,4,5,1,11,6,7,7,7,7,7,7,7,7,7
5/15/18,4,5,1,12,7,7,7,7,7,7,7,7,7,7
5/21/18,4,5,2,1,5,5,6,5,5,6,6,5,5,4
5/21/18,4,5,2,2,1,1,1,1,7,4,4,3,3,4
5/21/18,4,5,2,3,1,2,3,2,4,2,2,4,6,2
5/21/18,4,5,2,4,4,4,4,5,3,5,6,2,2,3
5/21/18,4,5,2,5,6,5,5,5,4,5,5,4,5,4
5/21/18,4,5,2,6,6,5,6,6,6,6,6,6,5,6
5/21/18,4,5,2,7,7,2,7,7,1,7,7,2,1,7
5/21/18,4,5,2,8,1,1,1,1,1,1,1,1,1,1
5/21/18,4,5,2,9,6,3,6,4,5,3,5,4,4,4
5/21/18,4,5,2,10,5,5,5,5,5,5,5,5,5,5
5/21/18,4,5,2,11,5,5,3,4,5,3,5,3,5,5
5/21/18,4,5,2,12,6,6,6,6,6,6,6,6,6,6
5/29/18,4,5,3,1,4,4,4,4,4,4,4,4,4,4
5/29/18,4,5,3,2,6,6,5,2,5,4,5,5,5,5
5/29/18,4,5,3,3,5,4,6,5,6,6,6,6,6,6
5/29/18,4,5,3,4,5,4,3,5,3,5,5,3,6,5
5/29/18,4,5,3,5,7,7,2,7,4,3,7,2,5,2
5/29/18,4,5,3,6,6,3,6,5,4,7,6,3,4,6
5/29/18,4,5,3,7,6,6,6,6,6,6,4,6,4,6
5/29/18,4,5,3,8,1,1,1,1,1,1,1,1,1,1
5/29/18,4,5,3,9,6,5,5,5,4,2,6,6,5,2
5/29/18,4,5,3,10,4,5,6,4,5,5,4,5,5,6
5/29/18,4,5,3,11,4,4,3,4,5,5,3,5,6,5
5/29/18,4,5,3,12,7,7,5,7,5,5,4,7,7,5